date;GDPdeflator;pi
Q4 1959;17,375;
Q1 1960;17,409;0,78196897
Q2 1960;17,473;1,467807392
Q3 1960;17,551;1,781638395
Q4 1960;17,63;1,796427226
Q1 1961;17,651;0,476177035
Q2 1961;17,688;0,837601823
Q3 1961;17,727;0,880982991
Q4 1961;17,769;0,946585973
Q1 1962;17,859;2,020886751
Q2 1962;17,908;1,095983016
Q3 1962;17,95;0,937029822
Q4 1962;17,991;0,912607168
Q1 1963;18,079;1,951764338
Q2 1963;18,093;0,309631775
Q3 1963;18,112;0,419831554
Q4 1963;18,23;2,597554668
Q1 1964;18,3;1,532988463
Q2 1964;18,355;1,200382841
Q3 1964;18,447;1,999895476
Q4 1964;18,526;1,709358077
Q1 1965;18,606;1,723583406
Q2 1965;18,692;1,844606197
Q3 1965;18,778;1,836138799
Q4 1965;18,9;2,590380092
Q1 1966;19,016;2,447523197
Q2 1966;19,189;3,622587252
Q3 1966;19,358;3,507429016
Q4 1966;19,517;3,272043969
Q1 1967;19,599;1,677065551
Q2 1967;19,716;2,380777727
Q3 1967;19,893;3,574968885
Q4 1967;20,111;4,359607199
Q1 1968;20,331;4,351954308
Q2 1968;20,559;4,46079458
Q3 1968;20,757;3,833895165
Q4 1968;21,047;5,549797189
Q1 1969;21,259;4,008921185
Q2 1969;21,54;5,252534644
Q3 1969;21,847;5,660776246
Q4 1969;22,12;4,967425724
Q1 1970;22,424;5,459854883
Q2 1970;22,747;5,720581883
Q3 1970;22,935;3,292343792
Q4 1970;23,233;5,163821498
Q1 1971;23,588;6,065770538
Q2 1971;23,905;5,339813576
Q3 1971;24,146;4,012437133
Q4 1971;24,345;3,28310189
Q1 1972;24,745;6,518783508
Q2 1972;24,894;2,40134487
Q3 1972;25,114;3,519459595
Q4 1972;25,398;4,49798848
Q1 1973;25,723;5,086041019
Q2 1973;26,145;6,50897373
Q3 1973;26,634;7,412250976
Q4 1973;27,095;6,864245575
Q1 1974;27,647;8,067205587
Q2 1974;28,266;8,856978384
Q3 1974;29,127;12,00236404
Q4 1974;30,012;11,97268905
Q1 1975;30,69;8,935826779
Q2 1975;31,138;5,796827854
Q3 1975;31,692;7,054137934
Q4 1975;32,22;6,609237858
Q1 1976;32,567;4,284851198
Q2 1976;32,893;3,984145373
Q3 1976;33,313;5,075136807
Q4 1976;33,872;6,656401279
Q1 1977;34,416;6,373143253
Q2 1977;34,956;6,227422096
Q3 1977;35,442;5,522971915
Q4 1977;36,038;6,670551901
Q1 1978;36,642;6,648474466
Q2 1978;37,343;7,580141685
Q3 1978;37,992;6,892053426
Q4 1978;38,764;8,04654785
Q1 1979;39,475;7,270231708
Q2 1979;40,416;9,423274411
Q3 1979;41,24;8,073165192
Q4 1979;42,049;7,77077831
Q1 1980;42,96;8,573538111
Q2 1980;43,901;8,667059466
Q3 1980;44,909;9,080448492
Q4 1980;46,17;11,07680657
Q1 1981;47,363;10,20443866
Q2 1981;48,202;7,023672323
Q3 1981;49,101;7,391554888
Q4 1981;49,985;7,137423691
Q1 1982;50,657;5,341785633
Q2 1982;51,283;4,912755496
Q3 1982;52,007;5,607604666
Q4 1982;52,572;4,322133485
Q1 1983;53,018;3,379127966
Q2 1983;53,377;2,699385215
Q3 1983;53,935;4,159870502
Q4 1983;54,326;2,889326351
Q1 1984;54,89;4,131299543
Q2 1984;55,376;3,526041732
Q3 1984;55,833;3,287522215
Q4 1984;56,18;2,478291698
Q1 1985;56,845;4,706977562
Q2 1985;57,167;2,259417297
Q3 1985;57,534;2,55970743
Q4 1985;57,843;2,14254653
Q1 1986;58,124;1,938486293
Q2 1986;58,34;1,483721992
Q3 1986;58,612;1,860595734
Q4 1986;58,965;2,401837506
Q1 1987;59,312;2,347039547
Q2 1987;59,7;2,608149596
Q3 1987;60,141;2,943913957
Q4 1987;60,611;3,113835786
Q1 1988;61,081;3,089782973
Q2 1988;61,687;3,948943841
Q3 1988;62,432;4,80190106
Q4 1988;62,967;3,413126076
Q1 1989;63,609;4,057676055
Q2 1989;64,278;4,184982696
Q3 1989;64,75;2,926509628
Q4 1989;65,181;2,653725937
Q1 1990;65,908;4,43672591
Q2 1990;66,587;4,099813241
Q3 1990;67,187;3,588165254
Q4 1990;67,709;3,095733635
Q1 1991;68,379;3,93865977
Q2 1991;68,839;2,681873942
Q3 1991;69,335;2,871753762
Q4 1991;69,701;2,105934264
Q1 1992;70,02;1,826500264
Q2 1992;70,464;2,528410229
Q3 1992;70,792;1,857623546
Q4 1992;71,282;2,759136466
Q1 1993;71,712;2,405702595
Q2 1993;72,144;2,402409624
Q3 1993;72,512;2,035177491
Q4 1993;72,92;2,244353762
Q1 1994;73,299;2,07360657
Q2 1994;73,66;1,965177913
Q3 1994;74,029;1,998798924
Q4 1994;74,449;2,262967552
Q1 1995;74,899;2,410484837
Q2 1995;75,234;1,785086855
Q3 1995;75,556;1,708338693
Q4 1995;75,917;1,906614029
Q1 1996;76,305;2,03913148
Q2 1996;76,593;1,506888726
Q3 1996;76,941;1,813282249
Q4 1996;77,266;1,686047877
Q1 1997;77,646;1,962408398
Q2 1997;78,007;1,855412474
Q3 1997;78,234;1,162307767
Q4 1997;78,502;1,367906601
Q1 1998;78,615;0,575367501
Q2 1998;78,795;0,914808861
Q3 1998;79,079;1,43912389
Q4 1998;79,286;1,045686195
Q1 1999;79,583;1,495573566
Q2 1999;79,911;1,645205274
Q3 1999;80,197;1,429036921
Q4 1999;80,593;1,970275767
Q1 2000;81,186;2,932408562
Q2 2000;81,633;2,196309389
Q3 2000;82,158;2,564252238
Q4 2000;82,598;2,136497832
Q1 2001;83,136;2,596941556
Q2 2001;83,708;2,742692532
Q3 2001;83,981;1,302412162
Q4 2001;84,244;1,250706919
Q1 2002;84,486;1,147396034
Q2 2002;84,843;1,686659835
Q3 2002;85,219;1,768769567
Q4 2002;85,67;2,111316923
Q1 2003;86,206;2,494829936
Q2 2003;86,47;1,223100863
Q3 2003;86,945;2,191280745
Q4 2003;87,394;2,060358234
Q1 2004;88,137;3,386316662
Q2 2004;88,843;3,191337982
Q3 2004;89,449;2,719145373
Q4 2004;90,092;2,865095991
Q1 2005;90,904;3,589053671
Q2 2005;91,532;2,753853321
Q3 2005;92,399;3,771007264
Q4 2005;93,12;3,109131162
Q1 2006;93,821;2,999891027
Q2 2006;94,597;3,294820612
Q3 2006;95,253;2,764298597
Q4 2006;95,595;1,433603144
Q1 2007;96,657;4,419244751
Q2 2007;97,212;2,29021253
Q3 2007;97,533;1,318648656
Q4 2007;97,948;1,69837733
Q1 2008;98,497;2,235746104
Q2 2008;98,93;1,754575389
Q3 2008;99,605;2,719933919
Q4 2008;99,799;0,778319637
Q1 2009;100,047;0,992764938
Q2 2009;99,891;-0,624193627
Q3 2009;99,883;-0,032036201
Q4 2009;100,179;1,183633937
Q1 2010;100,509;1,315475952
Q2 2010;100,972;1,838389982
Q3 2010;101,432;1,818149017
Q4 2010;101,948;2,029702457
Q1 2011;102,354;1,589805423
Q2 2011;103,024;2,609831148
Q3 2011;103,651;2,427006357
Q4 2011;103,782;0,50522344
Q1 2012;104,296;1,976186028
Q2 2012;104,751;1,741237974
Q3 2012;105,345;2,261829193
Q4 2012;105,64;1,11856366
Q1 2013;105,994;1,338160523
Q2 2013;106,165;0,644799559
