Dato,NominelOliePris,RealBNP,PrisIndeks
31/03/1975,11.16,5292.4,52.567
30/06/1975,11.16,5333.2,53.2
30/09/1975,11.16,5421.4,54.267
31/12/1975,11.16,5494.4,55.267
31/03/1976,11.76,5618.5,55.9
30/06/1976,12.17,5661,56.4
30/09/1976,12.75,5689.8,57.3
31/12/1976,13.9,5732.5,58.133
31/03/1977,13.9,5799.2,59.2
30/06/1977,13.9,5913,60.233
30/09/1977,14.22,6017.6,61.067
31/12/1977,14.85,6018.2,61.967
31/03/1978,14.85,6039.2,63.033
30/06/1978,14.85,6274,64.467
30/09/1978,14.85,6335.3,65.967
31/12/1978,14.85,6420.3,67.5
31/03/1979,15.84,6433,69.2
30/06/1979,20.49,6440.8,71.4
30/09/1979,28.84,6487.1,73.7
31/12/1979,35.18,6503.9,76.033
31/03/1980,37.85,6524.9,79.033
30/06/1980,39.5,6392.6,81.7
30/09/1980,37.84,6382.9,83.233
31/12/1980,36.32,6501.2,85.567
31/03/1981,38,6635.7,87.933
30/06/1981,36.67,6587.3,89.767
30/09/1981,35,6662.9,92.267
31/12/1981,35,6585.1,93.767
31/03/1982,34.02,6475,94.6
30/06/1982,32,6510.2,95.967
30/09/1982,32,6486.8,97.633
31/12/1982,32.67,6493.1,97.933
31/03/1983,30.4,6578.2,98
30/06/1983,30.58,6728.3,99.133
30/09/1983,31.59,6860,100.1
31/12/1983,29.85,7001.5,101.1
31/03/1984,30.21,7140.6,102.533
30/06/1984,30.37,7266,103.5
30/09/1984,29.08,7337.5,104.4
31/12/1984,27.89,7396,105.3
31/03/1985,27.11,7469.5,106.267
30/06/1985,27.88,7537.9,107.233
30/09/1985,27.79,7655.2,107.9
31/12/1985,29.19,7712.6,109
31/03/1986,16.91,7784.1,109.567
30/06/1986,13.94,7819.8,109.033
30/09/1986,13.87,7898.6,109.7
31/12/1986,15.37,7939.5,110.467
31/03/1987,18.29,7995,111.8
30/06/1987,19.39,8084.7,113.067
30/09/1987,20.39,8158,114.267
31/12/1987,18.7,8292.7,115.333
31/03/1988,16.69,8339.3,116.233
30/06/1988,17.25,8449.5,117.567
30/09/1988,15.19,8498.3,119
31/12/1988,14.76,8610.9,120.3
31/03/1989,18.49,8697.7,121.667
30/06/1989,20.59,8766.1,123.633
30/09/1989,19.32,8831.5,124.6
31/12/1989,20.36,8850.2,125.867
31/03/1990,21.83,8947.1,128.033
30/06/1990,17.79,8981.7,129.3
30/09/1990,26.48,8983.9,131.533
31/12/1990,31.97,8907.4,133.767
31/03/1991,21.86,8865.6,134.767
30/06/1991,20.74,8934.4,135.567
30/09/1991,21.69,8977.3,136.6
31/12/1991,21.76,9016.4,137.733
31/03/1992,18.89,9123,138.667
30/06/1992,21.19,9223.5,139.733
30/09/1992,21.66,9313.2,140.8
31/12/1992,20.48,9406.5,142.033
31/03/1993,19.81,9424.1,143.067
30/06/1993,19.77,9480.1,144.1
30/09/1993,17.79,9526.3,144.767
31/12/1993,16.45,9653.5,145.967
31/03/1994,14.81,9748.2,146.7
30/06/1994,17.78,9881.4,147.533
30/09/1994,18.49,9939.7,148.9
31/12/1994,17.65,10052.5,149.767
31/03/1995,18.37,10086.9,150.867
30/06/1995,19.35,10122.1,152.1
30/09/1995,17.84,10208.8,152.867
31/12/1995,18.16,10281.2,153.7
31/03/1996,19.76,10348.7,155.067
30/06/1996,21.73,10529.4,156.4
30/09/1996,22.41,10626.8,157.3
31/12/1996,24.63,10739.1,158.667
31/03/1997,22.78,10820.9,159.633
30/06/1997,19.9,10984.2,160
30/09/1997,19.77,11124,160.8
31/12/1997,19.88,11210.3,161.667
31/03/1998,15.96,11321.2,162
30/06/1998,14.64,11431,162.533
30/09/1998,14.17,11580.6,163.367
31/12/1998,12.9,11770.7,164.133
31/03/1999,12.9,11864.7,164.733
30/06/1999,17.57,11962.5,165.967
30/09/1999,21.53,12113.1,167.2
31/12/1999,24.67,12323.3,168.433
31/03/2000,28.79,12359.1,170.1
30/06/2000,28.81,12592.5,171.433
30/09/2000,31.72,12607.7,173
31/12/2000,31.94,12679.3,174.233
31/03/2001,28.78,12643.3,175.9
30/06/2001,27.85,12710.3,177.133
30/09/2001,26.49,12670.1,177.633
31/12/2001,20.36,12705.3,177.5
31/03/2002,21.6,12822.3,178.067
30/06/2002,26.26,12893,179.467
