date;GDPdeflator;pi
Q4 1959;17.375;
Q1 1960;17.409;0.78196897
Q2 1960;17.473;1.467.807.392
Q3 1960;17.551;1.781.638.395
Q4 1960;17.63;1.796.427.226
Q1 1961;17.651;0.476177035
Q2 1961;17.688;0.837601823
Q3 1961;17.727;0.880982991
Q4 1961;17.769;0.946585973
Q1 1962;17.859;2.020.886.751
Q2 1962;17.908;1.095.983.016
Q3 1962;17.95;0.937029822
Q4 1962;17.991;0.912607168
Q1 1963;18.079;1.951.764.338
Q2 1963;18.093;0.309631775
Q3 1963;18.112;0.419831554
Q4 1963;18.23;2.597.554.668
Q1 1964;18.3;1.532.988.463
Q2 1964;18.355;1.200.382.841
Q3 1964;18.447;1.999.895.476
Q4 1964;18.526;1.709.358.077
Q1 1965;18.606;1.723.583.406
Q2 1965;18.692;1.844.606.197
Q3 1965;18.778;1.836.138.799
Q4 1965;18.9;2.590.380.092
Q1 1966;19.016;2.447.523.197
Q2 1966;19.189;3.622.587.252
Q3 1966;19.358;3.507.429.016
Q4 1966;19.517;3.272.043.969
Q1 1967;19.599;1.677.065.551
Q2 1967;19.716;2.380.777.727
Q3 1967;19.893;3.574.968.885
Q4 1967;20.111;4.359.607.199
Q1 1968;20.331;4.351.954.308
Q2 1968;20.559;446.079.458
Q3 1968;20.757;3.833.895.165
Q4 1968;21.047;5.549.797.189
Q1 1969;21.259;4.008.921.185
Q2 1969;21.54;5.252.534.644
Q3 1969;21.847;5.660.776.246
Q4 1969;22.12;4.967.425.724
Q1 1970;22.424;5.459.854.883
Q2 1970;22.747;5.720.581.883
Q3 1970;22.935;3.292.343.792
Q4 1970;23.233;5.163.821.498
Q1 1971;23.588;6.065.770.538
Q2 1971;23.905;5.339.813.576
Q3 1971;24.146;4.012.437.133
Q4 1971;24.345;328.310.189
Q1 1972;24.745;6.518.783.508
Q2 1972;24.894;240.134.487
Q3 1972;25.114;3.519.459.595
Q4 1972;25.398;449.798.848
Q1 1973;25.723;5.086.041.019
Q2 1973;26.145;650.897.373
Q3 1973;26.634;7.412.250.976
Q4 1973;27.095;6.864.245.575
Q1 1974;27.647;8.067.205.587
Q2 1974;28.266;8.856.978.384
Q3 1974;29.127;1.200.236.404
Q4 1974;30.012;1.197.268.905
Q1 1975;30.69;8.935.826.779
Q2 1975;31.138;5.796.827.854
Q3 1975;31.692;7.054.137.934
Q4 1975;32.22;6.609.237.858
Q1 1976;32.567;4.284.851.198
Q2 1976;32.893;3.984.145.373
Q3 1976;33.313;5.075.136.807
Q4 1976;33.872;6.656.401.279
Q1 1977;34.416;6.373.143.253
Q2 1977;34.956;6.227.422.096
Q3 1977;35.442;5.522.971.915
Q4 1977;36.038;6.670.551.901
Q1 1978;36.642;6.648.474.466
Q2 1978;37.343;7.580.141.685
Q3 1978;37.992;6.892.053.426
Q4 1978;38.764;804.654.785
Q1 1979;39.475;7.270.231.708
Q2 1979;40.416;9.423.274.411
Q3 1979;41.24;8.073.165.192
Q4 1979;42.049;777.077.831
Q1 1980;42.96;8.573.538.111
Q2 1980;43.901;8.667.059.466
Q3 1980;44.909;9.080.448.492
Q4 1980;46.17;1.107.680.657
Q1 1981;47.363;1.020.443.866
Q2 1981;48.202;7.023.672.323
Q3 1981;49.101;7.391.554.888
Q4 1981;49.985;7.137.423.691
Q1 1982;50.657;5.341.785.633
Q2 1982;51.283;4.912.755.496
Q3 1982;52.007;5.607.604.666
Q4 1982;52.572;4.322.133.485
Q1 1983;53.018;3.379.127.966
Q2 1983;53.377;2.699.385.215
Q3 1983;53.935;4.159.870.502
Q4 1983;54.326;2.889.326.351
Q1 1984;54.89;4.131.299.543
Q2 1984;55.376;3.526.041.732
Q3 1984;55.833;3.287.522.215
Q4 1984;56.18;2.478.291.698
Q1 1985;56.845;4.706.977.562
Q2 1985;57.167;2.259.417.297
Q3 1985;57.534;255.970.743
Q4 1985;57.843;214.254.653
Q1 1986;58.124;1.938.486.293
Q2 1986;58.34;1.483.721.992
Q3 1986;58.612;1.860.595.734
Q4 1986;58.965;2.401.837.506
Q1 1987;59.312;2.347.039.547
Q2 1987;59.7;2.608.149.596
Q3 1987;60.141;2.943.913.957
Q4 1987;60.611;3.113.835.786
Q1 1988;61.081;3.089.782.973
Q2 1988;61.687;3.948.943.841
Q3 1988;62.432;480.190.106
Q4 1988;62.967;3.413.126.076
Q1 1989;63.609;4.057.676.055
Q2 1989;64.278;4.184.982.696
Q3 1989;64.75;2.926.509.628
Q4 1989;65.181;2.653.725.937
Q1 1990;65.908;443.672.591
Q2 1990;66.587;4.099.813.241
Q3 1990;67.187;3.588.165.254
Q4 1990;67.709;3.095.733.635
Q1 1991;68.379;393.865.977
Q2 1991;68.839;2.681.873.942
Q3 1991;69.335;2.871.753.762
Q4 1991;69.701;2.105.934.264
Q1 1992;70.02;1.826.500.264
Q2 1992;70.464;2.528.410.229
Q3 1992;70.792;1.857.623.546
Q4 1992;71.282;2.759.136.466
Q1 1993;71.712;2.405.702.595
Q2 1993;72.144;2.402.409.624
Q3 1993;72.512;2.035.177.491
Q4 1993;72.92;2.244.353.762
Q1 1994;73.299;207.360.657
Q2 1994;73.66;1.965.177.913
Q3 1994;74.029;1.998.798.924
Q4 1994;74.449;2.262.967.552
Q1 1995;74.899;2.410.484.837
Q2 1995;75.234;1.785.086.855
Q3 1995;75.556;1.708.338.693
Q4 1995;75.917;1.906.614.029
Q1 1996;76.305;203.913.148
Q2 1996;76.593;1.506.888.726
Q3 1996;76.941;1.813.282.249
Q4 1996;77.266;1.686.047.877
Q1 1997;77.646;1.962.408.398
Q2 1997;78.007;1.855.412.474
Q3 1997;78.234;1.162.307.767
Q4 1997;78.502;1.367.906.601
Q1 1998;78.615;0.575367501
Q2 1998;78.795;0.914808861
Q3 1998;79.079;143.912.389
Q4 1998;79.286;1.045.686.195
Q1 1999;79.583;1.495.573.566
Q2 1999;79.911;1.645.205.274
Q3 1999;80.197;1.429.036.921
Q4 1999;80.593;1.970.275.767
Q1 2000;81.186;2.932.408.562
Q2 2000;81.633;2.196.309.389
Q3 2000;82.158;2.564.252.238
Q4 2000;82.598;2.136.497.832
Q1 2001;83.136;2.596.941.556
Q2 2001;83.708;2.742.692.532
Q3 2001;83.981;1.302.412.162
Q4 2001;84.244;1.250.706.919
Q1 2002;84.486;1.147.396.034
Q2 2002;84.843;1.686.659.835
Q3 2002;85.219;1.768.769.567
Q4 2002;85.67;2.111.316.923
Q1 2003;86.206;2.494.829.936
Q2 2003;86.47;1.223.100.863
Q3 2003;86.945;2.191.280.745
Q4 2003;87.394;2.060.358.234
Q1 2004;88.137;3.386.316.662
Q2 2004;88.843;3.191.337.982
Q3 2004;89.449;2.719.145.373
Q4 2004;90.092;2.865.095.991
Q1 2005;90.904;3.589.053.671
Q2 2005;91.532;2.753.853.321
Q3 2005;92.399;3.771.007.264
Q4 2005;93.12;3.109.131.162
Q1 2006;93.821;2.999.891.027
Q2 2006;94.597;3.294.820.612
Q3 2006;95.253;2.764.298.597
Q4 2006;95.595;1.433.603.144
Q1 2007;96.657;4.419.244.751
Q2 2007;97.212;229.021.253
Q3 2007;97.533;1.318.648.656
Q4 2007;97.948;169.837.733
Q1 2008;98.497;2.235.746.104
Q2 2008;98.93;1.754.575.389
Q3 2008;99.605;2.719.933.919
Q4 2008;99.799;0.778319637
Q1 2009;100.047;0.992764938
Q2 2009;99.891;-0.624193627
Q3 2009;99.883;-0.032036201
Q4 2009;100.179;1.183.633.937
Q1 2010;100.509;1.315.475.952
Q2 2010;100.972;1.838.389.982
Q3 2010;101.432;1.818.149.017
Q4 2010;101.948;2.029.702.457
Q1 2011;102.354;1.589.805.423
Q2 2011;103.024;2.609.831.148
Q3 2011;103.651;2.427.006.357
Q4 2011;103.782;0.50522344
Q1 2012;104.296;1.976.186.028
Q2 2012;104.751;1.741.237.974
Q3 2012;105.345;2.261.829.193
Q4 2012;105.64;111.856.366
Q1 2013;105.994;1.338.160.523
Q2 2013;106.165;0.644799559
