date (YYYYQQ);c;a;y
195104;8.945.843.412;1.056.260.837;8.658.345.436
195201;8.944.092.233;1.057.123.571;866.592.584
195202;8.957.498.884;1.058.301.045;8.667.349.937
195203;8.966.563.493;1.057.800.623;8.681.577.904
195204;897.540.805;1.057.487.284;8.710.945.649
195301;8.985.109.507;1.057.435.704;8.721.970.747
195302;8.987.922.907;105.681.087;8.734.275.091
195303;8.983.669.634;105.687.573;8.727.220.229
195304;8.977.640.356;1.057.209.931;871.372.771
195401;8.982.063.696;1.057.983.867;8.704.642.843
195402;8.985.850.597;1.059.423.952;8.703.034.341
195403;8.997.723.817;1.061.985.507;8.706.268.947
195404;9.005.743.022;1.062.849.544;8.725.395.268
195501;9.012.393.518;1.063.552.477;8.733.715.539
195502;901.870.883;1.065.569.272;8.754.702.668
195503;9.024.552.828;1.067.358.464;8.772.048.159
195504;9.039.403.655;1.067.977.798;8.781.320.168
195601;9.046.536.027;1.070.245.425;8.788.892.441
195602;90.463.522;1.069.468.053;8.796.668.382
195603;9.047.165.809;1.069.003.232;8.795.640.737
195604;9.053.794.975;1.070.064.198;8.806.771.518
195701;9.056.037.136;1.069.211.148;8.805.968.511
195702;9.058.987.617;1.070.212.755;8.807.189.258
195703;9.064.377.497;1.068.311.516;8.805.855.703
195704;9.065.837.567;1.067.726.876;8.797.694.729
195801;9.057.330.176;1.068.207.006;877.479.737
195802;9.064.119.208;1.069.130.846;8.776.609.721
195803;9.073.882.178;1.071.767.204;8.799.425.694
195804;9.076.731.271;1.073.155.177;8.810.099.068
195901;9.086.279.255;107.328.913;8.816.930.538
195902;9.093.497.635;1.074.045.752;8.832.531.741
195903;9.100.015.796;107.366.187;8.825.327.396
195904;9.105.124.523;1.074.465.827;8.827.368.543
196001;9.102.890.651;107.377.016;8.833.531.031
196002;9.110.775.286;1.074.171.896;8.835.907.432
196003;9.104.323.308;1.072.440.282;8.832.123.386
196004;9.106.018.985;1.074.321.176;8.824.913.176
196101;9.109.646.062;1.076.763.256;8.828.368.022
196102;9.120.174.349;1.077.472.349;8.840.625.083
196103;9.117.742.292;107.818.612;8.849.355.179
196104;9.128.413.984;1.080.256.162;8.863.091.849
196201;9.134.077.446;1.080.225.905;8.870.957.433
196202;9.140.194.084;1.074.617.733;8.878.864.928
196203;9.145.060.823;1.075.640.171;8.879.720.096
196204;9.150.333.337;1.080.108.279;8.883.549.828
196301;9.152.583.004;1.081.601.892;8.889.315.943
196302;9.156.828.767;1.082.733.467;8.896.020.221
196303;9.166.654.876;1.083.534.718;8.903.109.452
196304;9.171.221.453;1.082.366.164;8.914.873.226
196401;9.182.498.042;108.363.757;8.932.067.409
196402;9.194.914.916;1.085.272.914;8.955.761.788
196403;9.207.255.696;1.086.153.939;8.965.241.448
196404;9.212.088.968;1.087.159.923;8.973.354.068
196501;9.220.615.597;1.088.237.387;898.142.675
196502;9.232.071.863;1.087.366.091;8.987.791.952
196503;9.242.118.271;108.960.633;9.014.147.157
196504;926.329.412;1.091.939.718;9.032.090.246
196601;9.269.014.035;1.090.941.832;9.034.378.436
196602;9.277.239.779;109.110.504;9.042.658.443
196603;9.281.555.958;1.088.331.476;905.602.774
196604;9.284.609.617;1.090.550.183;9.068.148.299
196701;9.293.243.974;1.094.020.343;9.079.780.764
196702;929.929.942;1.094.643.576;9.086.128.331
196703;9.304.345.459;1.096.253.455;9.093.036.894
196704;9.309.540.869;109.765.848;9.103.466.168
196801;9.322.812.099;1.096.434.796;9.120.644.771
196802;9.335.938.249;1.099.946.207;913.731.669
196803;9.347.364.872;1.100.361.158;9.139.364.343
196804;9.352.378.167;1.104.047.925;9.145.987.171
196901;9.359.902.155;1.103.346.978;9.145.601.235
196902;9.365.951.457;1.101.693.085;9.153.682.855
196903;9.369.063.848;1.100.628.521;9.173.016.442
196904;9.377.386.601;1.099.667.858;9.179.012.753
197001;9.387.085.039;1.098.990.432;9.183.474.093
197002;9.388.548.269;1.095.170.229;9.203.588.871
197003;9.395.850.467;1.097.533.883;9.208.498.771
197004;9.399.042.557;1.098.604.107;9.201.035.425
197101;9.401.750.292;1.101.849.475;9.218.201.574
197102;9.404.049.172;1.102.002.907;9.232.333.784
197103;940.549.739;1.102.344.042;923.311.113
197104;9.414.368.246;1.103.888.403;9.239.947.317
197201;9.423.806.041;110.663.785;924.773.565
197202;9.438.018.756;1.107.199.553;9.255.544.643
197203;9.447.199.203;1.108.238.782;926.601.971
197204;9.462.075.504;1.112.861.521;9.297.901.539
197301;9.468.532.264;1.111.949.974;9.310.149.294
197302;9.468.509.654;1.110.377.864;9.314.678.788
197303;9.472.742.072;1.112.546.239;9.315.538.223
197304;9.471.051.382;1.108.746.786;9.320.111.234
197401;9.462.410.644;1.106.861.217;9.308.334.507
197402;9.463.910.632;1.103.188.065;9.306.472.839
197403;9.465.914.381;1.098.469.184;9.306.569.914
197404;9.464.366.422;1.097.743.849;929.847.437
197501;9.465.249.457;1.101.694.362;9.292.842.124
197502;9.478.269.635;110.531.342;9.338.931.291
197503;9.481.897.499;1.102.613.967;9.322.355.153
197504;9.487.390.457;110.307.488;9.331.772.832
197601;9.502.355.404;1.105.830.292;934.873.851
197602;9.511.159.958;1.108.016.623;9.353.959.259
197603;9.518.839.702;1.108.265.083;936.090.645
197604;9.529.118.213;1.108.857.399;9.364.901.509
197701;9.534.532.482;1.108.971.788;9.366.234.553
197702;9.532.997.402;1.109.914.174;9.373.341.938
197703;9.538.684.728;1.109.915.618;9.385.644.094
197704;9.547.042.081;1.110.117.457;939.513.629
197801;9.555.714.878;1.110.565.304;9.399.678.508
197802;9.563.976.638;1.112.240.689;9.408.019.029
197803;9.568.805.446;1.113.782.471;9.414.007.053
197804;9.572.725.399;1.113.803.078;9.421.114.779
197901;9.580.385.777;1.115.886.768;9.423.907.805
197902;9.579.555.953;1.116.623.093;9.418.956.539
197903;9.580.837.049;1.117.693.285;9.423.406.812
197904;9.586.496.119;1.117.677.236;942.311.914
198001;9.585.269.497;1.115.839.811;9.422.532.514
198002;9.572.344.026;1.117.197.914;940.846.353
198003;957.322.772;1.118.875.333;9.417.527.818
198004;9.578.934.448;1.120.040.363;9.425.000.955
198101;9.575.765.625;1.119.251.859;9.417.711.961
198102;958.022.648;1.119.957.142;9.413.711.837
198103;957.749.788;1.118.176.079;9.421.189.344
198104;9.576.498.161;1.119.034.178;9.420.506.911
198201;9.576.266.237;1.118.992.027;9.418.144.101
198202;957.811.645;1.118.920.176;9.418.701.815
198203;9.580.968.674;1.119.167.246;9.423.077.362
198204;959.076.541;1.120.196.123;9.423.352.172
198301;9.597.413.205;1.122.599.667;9.426.433.182
198302;9.607.497.902;1.124.088.915;9.431.347.713
198303;9.617.695.795;1.123.660.471;9.441.595.776
198304;9.624.995.568;1.122.843.215;9.455.090.332
198401;9.628.960.525;1.123.215.207;9.467.666.454
198402;9.637.420.197;1.123.589.715;9.478.946.937
198403;9.644.545.686;1.125.402.519;948.742.761
198404;9.651.528.838;1.126.246.936;9.494.621.266
198501;9.661.853.909;1.128.354.527;9.491.689.526
198502;9.668.355.547;1.129.735.678;9.509.552.132
198503;9.676.821.225;1.129.582.422;9.507.328.412
198504;9.684.041.554;1.132.566.108;9.512.925.404
198601;9.687.679.299;1.135.703.668;9.521.651.492
198602;969.104.121;1.138.029.161;952.950.039
198603;9.695.420.038;113.710.589;9.533.312.593
198604;9.704.000.173;1.139.300.139;9.536.636.493
198701;9.713.007.122;1.142.702.514;9.543.583.996
198702;9.719.345.134;1.143.301.419;9.532.747.196
198703;9.722.616.319;1.144.480.948;954.466.356
198704;9.728.086.938;1.140.460.579;95.528.218
198801;9.738.550.999;1.142.439.799;9.562.701.137
198802;9.745.308.317;1.143.744.507;9.570.066.952
198803;9.753.383.607;1.143.531.479;9.573.063.649
198804;9.759.163.229;1.144.326.453;9.577.481.845
198901;976.201.824;1.145.375.365;9.576.586.637
198902;9.761.564.514;1.146.386.158;9.570.487.714
198903;9.764.673.042;1.148.437.016;9.574.242.128
198904;9.771.485.314;1.148.447.268;9.579.082.712
199001;97.734.067;1.146.837.145;9.590.371.464
199002;9.781.149.736;1.147.080.319;9.594.826.393
199003;9.784.356.837;1.143.430.002;9.591.029.694
199004;9.775.577.813;1.143.888.762;9.582.250.163
199101;9.771.056.007;1.146.069.989;9.584.422.692
199102;9.775.274.545;1.145.322.357;9.588.335.042
199103;9.774.098.297;1.145.719.522;9.589.250.316
199104;9.771.357.039;1.147.069.256;9.590.884.596
199201;9.779.742.681;11.462.842;96.069.097
199202;9.780.557.761;1.145.325.712;9.612.259.789
199203;9.781.446.909;1.145.593.008;9.614.535.831
199204;9.790.693.158;1.146.965.681;9.629.716.416
199301;978.982.857;1.147.390.987;9.602.375.574
199302;9.792.480.235;1.147.474.759;9.619.621.401
199303;979.943.775;1.148.412.474;9.622.378.864
199304;9.802.620.559;1.148.799.963;963.387.117
199401;9.807.776.317;114.784.597;9.620.234.575
199402;9.813.990.819;114.762.493;963.197.541
199403;9.816.982.991;1.148.242.526;9.632.598.857
199404;9.819.630.097;1.148.062.503;9.639.466.931
199501;9.821.967.518;1.149.683.587;9.641.808.894
199502;9.828.384.977;1.151.744.251;9.639.024.534
199503;9.830.492.796;1.153.978.731;9.643.163.145
199504;9.833.252.245;1.155.687.276;9.643.990.015
199601;9.838.529.422;1.157.181.558;9.645.618.154
199602;9.842.569.398;1.158.123.025;964.676.517
199603;9.844.773.981;1.158.590.415;9.653.039.607
199604;9.847.675.036;1.160.899.264;9.653.875.599
199701;9.854.042.498;116.063.194;9.657.436.111
199702;9.858.384.945;1.165.716.338;9.661.175.887
199703;9.864.910.806;1.168.576.757;9.665.925.198
199704;9.868.478.703;116.990.952;9.673.923.379
199801;9.876.849.313;1.174.776.213;9.688.447.415
199802;9.885.791.923;117.584.462;9.696.836.411
199803;9.892.916.544;1.171.350.522;9.702.953.393
199804;9.895.600.876;1.177.514.285;9.708.317.012
199901;990.243.279;1.178.960.845;9.720.039.093
199902;9.910.958.775;118.150.949;9.719.330.628
199903;9.917.421.395;1.179.298.888;972.140.057
199904;9.925.326.793;1.186.906.363;9.727.793.908
200001;9.930.754.728;1.188.142.724;9.747.531.988
200002;9.937.723.113;1.186.372.081;9.750.956.256
200003;9.942.934.023;1.185.996.063;9.759.319.529
200004;9.947.915.611;1.182.215.495;9.761.053.154
200101;9.949.109.131;1.177.394.006;9.762.724.352
200102;9.949.064.556;1.179.458.219;9.760.708.196
200103;9.948.878.612;1.174.387.326;9.781.919.936
200104;9.951.919.671;1.177.698.256;9.762.438.419
200201;9.959.686.399;1.178.076.439;9.793.235.624
200202;996.238.429;1.174.280.084;9.800.561.245
200203;9.964.815.425;1.169.244.448;980.312.349
200204;996.955.121;1.170.678.252;9.809.036.914
200301;9.971.359.459;1.169.804.702;9.811.556.587
