"y","z","aar","maaned"
2.36,2.51,1956,7
2.48,2.72,1956,8
2.45,2.74,1956,9
2.38,2.62,1956,10
2.28,2.58,1956,11
2.2,2.56,1956,12
1.79,2.23,1956,1
1.67,2.2,1956,2
1.66,2.07,1956,3
1.41,1.89,1957,4
1.14,1.63,1957,5
1.13,1.59,1957,6
0.96,1.54,1957,7
0.85,1.56,1957,8
0.82,1.53,1957,9
0.84,1.47,1957,10
0.88,1.49,1957,11
1.03,1.6,1957,12
1.17,1.72,1957,1
1.14,1.75,1957,2
1.21,1.81,1957,3
1.39,1.99,1958,4
1.57,2.12,1958,5
1.59,2.26,1958,6
1.75,2.37,1958,7
1.9,2.37,1958,8
1.91,2.39,1958,9
2.02,2.51,1958,10
2.37,2.72,1958,11
2.36,2.69,1958,12
2.39,2.62,1958,1
2.48,2.73,1958,2
2.73,2.88,1958,3
2.58,2.78,1959,4
2.49,2.67,1959,5
2.61,2.89,1959,6
2.92,3.19,1959,7
2.94,3.08,1959,8
2.74,2.95,1959,9
2.76,3.06,1959,10
3.1,3.39,1959,11
3.35,3.5,1959,12
3.28,3.4,1959,1
3.44,3.57,1959,2
3.68,3.76,1959,3
3.37,3.46,1960,4
3.38,3.42,1960,5
3.42,3.47,1960,6
3.49,3.53,1960,7
3.48,3.61,1960,8
3.65,3.8,1960,9
3.81,3.96,1960,10
4.01,4.02,1960,11
4.07,4.06,1960,12
4.01,4.09,1960,1
3.57,3.7,1960,2
3.18,3.11,1960,3
2.65,2.78,1961,4
1.99,2.58,1961,5
1.84,2.4,1961,6
1.45,2.15,1961,7
1.37,2.07,1961,8
1.23,2.08,1961,9
1.61,2.42,1961,10
2.5,3.06,1961,11
3.05,3.52,1961,12
3.19,3.67,1961,1
3.1,3.6,1961,2
3.29,3.72,1961,3
3.36,3.91,1962,4
3.54,3.92,1962,5
3.61,3.97,1962,6
3.72,4.03,1962,7
3.96,4.25,1962,8
4.07,4.52,1962,9
4.39,4.6,1962,10
4.42,4.6,1962,11
5,4.97,1962,12
4.8,4.78,1962,1
4.81,4.85,1962,2
5.14,5.12,1962,3
5.03,4.99,1963,4
4.66,4.73,1963,5
4.02,4.29,1963,6
4.04,4.27,1963,7
4.21,4.46,1963,8
3.36,4.01,1963,9
3.2,3.63,1963,10
2.95,3.41,1963,11
3.07,3.43,1963,12
3.04,3.53,1963,1
3.08,3.6,1963,2
2.86,3.42,1963,3
2.81,3.39,1964,4
2.93,3.46,1964,5
2.88,3.35,1964,6
2.88,3.33,1964,7
2.87,3.23,1964,8
3.06,3.63,1964,9
2.92,3.59,1964,10
3.06,3.76,1964,11
3.06,3.73,1964,12
3.05,3.62,1964,1
3.07,3.61,1964,2
3.18,3.72,1964,3
3.28,3.76,1965,4
3.28,3.69,1965,5
3.06,3.45,1965,6
2.99,3.38,1965,7
3.03,3.4,1965,8
3.03,3.39,1965,9
3.29,3.62,1965,10
3.2,3.46,1965,11
3.06,3.41,1965,12
2.98,3.33,1965,1
3,3.4,1965,2
3.01,3.37,1965,3
3.04,3.4,1966,4
