dato,aktiekurs
02/01/2001,1662.646
03/01/2001,1980.806
04/01/2001,1893.569
05/01/2001,1739.62
08/01/2001,1785.804
09/01/2001,1698.567
10/01/2001,1739.62
11/01/2001,1816.594
12/01/2001,1816.594
16/01/2001,1744.751
17/01/2001,1842.252
18/01/2001,1965.411
19/01/2001,2026.991
22/01/2001,1929.49
23/01/2001,1929.49
24/01/2001,1924.358
25/01/2001,1847.384
26/01/2001,1852.516
29/01/2001,1896.647
30/01/2001,1889.258
31/01/2001,1872.837
01/02/2001,1811.257
02/02/2001,1751.319
05/02/2001,1675.781
06/02/2001,1711.908
07/02/2001,1638.013
08/02/2001,1627.339
09/02/2001,1551.802
12/02/2001,1590.392
13/02/2001,1621.593
14/02/2001,1568.223
15/02/2001,1570.686
16/02/2001,1527.99
20/02/2001,1502.538
21/02/2001,1422.895
22/02/2001,1419.611
23/02/2001,1334.222
26/02/2001,1304.664
27/02/2001,1255.4
28/02/2001,1245.547
01/03/2001,1307.948
02/03/2001,1378.558
05/03/2001,1375.275
06/03/2001,1453.275
07/03/2001,1437.675
08/03/2001,1334.222
09/03/2001,1276.748
12/03/2001,1231.589
13/03/2001,1251.295
14/03/2001,1192.846
15/03/2001,1186.26
16/03/2001,1152.508
19/03/2001,1234.83
20/03/2001,1162.387
21/03/2001,1165.68
22/03/2001,1290.809
23/03/2001,1316.329
26/03/2001,1341.025
27/03/2001,1313.859
28/03/2001,1233.184
29/03/2001,1195.316
30/03/2001,1173.912
02/04/2001,1210.134
03/04/2001,1127.812
04/04/2001,1156.624
05/04/2001,1230.714
06/04/2001,946.7031
09/04/2001,946.7031
10/04/2001,1070.186
11/04/2001,1061.954
12/04/2001,1091.59
16/04/2001,1131.928
17/04/2001,1152.508
18/04/2001,1251.295
19/04/2001,1324.561
20/04/2001,1317.975
23/04/2001,1266.936
24/04/2001,1222.482
25/04/2001,1234.83
26/04/2001,1201.901
27/04/2001,1275.168
30/04/2001,1280.107
01/05/2001,1308.097
02/05/2001,1356.667
03/05/2001,1305.627
04/05/2001,1354.197
07/05/2001,1350.081
08/05/2001,1342.672
09/05/2001,1319.622
10/05/2001,1300.688
11/05/2001,1317.152
14/05/2001,1295.749
15/05/2001,1231.537
16/05/2001,1288.34
17/05/2001,1280.931
18/05/2001,1284.223
21/05/2001,1361.606
22/05/2001,1366.545
23/05/2001,1329.5
24/05/2001,1336.086
25/05/2001,1293.279
29/05/2001,1234.83
30/05/2001,1160.74
31/05/2001,1210.134
01/06/2001,1175.558
04/06/2001,1173.912
05/06/2001,1254.588
06/06/2001,1218.366
07/06/2001,1280.107
08/06/2001,1251.295
11/06/2001,1223.305
12/06/2001,1152.508
13/06/2001,1228.244
14/06/2001,1149.828
15/06/2001,1176.242
18/06/2001,1078.841
19/06/2001,1086.27
20/06/2001,1112.684
21/06/2001,1159.733
22/06/2001,1201.005
25/06/2001,1201.005
26/06/2001,1209.26
27/06/2001,1244.753
28/06/2001,1276.945
29/06/2001,1366.917
02/07/2001,1384.25
03/07/2001,1394.981
05/07/2001,1321.518
06/07/2001,1268.691
09/07/2001,1268.691
10/07/2001,1279.421
11/07/2001,1293.454
12/07/2001,1498.161
13/07/2001,1451.937
16/07/2001,1415.617
17/07/2001,1494.858
18/07/2001,1451.11
19/07/2001,1579.879
20/07/2001,1527.051
23/07/2001,1489.906
24/07/2001,1436.253
25/07/2001,1426.348
26/07/2001,1531.177
27/07/2001,1568.323
30/07/2001,1570.799
31/07/2001,1542.734
01/08/2001,1579.879
02/08/2001,1601.34
03/08/2001,1537.781
06/08/2001,1535.305
07/08/2001,1535.305
08/08/2001,1512.193
09/08/2001,1484.953
10/08/2001,1485.78
13/08/2001,1527.051
14/08/2001,1519.622
15/08/2001,1436.253
16/08/2001,1485.78
17/08/2001,1403.236
20/08/2001,1366.091
21/08/2001,1370.218
22/08/2001,1473.397
23/08/2001,1494.033
24/08/2001,1547.687
27/08/2001,1553.465
28/08/2001,1539.432
29/08/2001,1511.368
30/08/2001,1419.745
31/08/2001,1436.253
04/09/2001,1443.682
05/09/2001,1353.71
06/09/2001,1150.654
07/09/2001,1179.544
10/09/2001,1241.451
17/09/2001,1223.292
18/09/2001,1278.746
19/09/2001,1281.229
20/09/2001,1208.394
21/09/2001,1234.879
24/09/2001,1271.297
25/09/2001,1278.746
26/09/2001,1280.401
27/09/2001,1282.884
28/09/2001,1291.161
01/10/2001,1266.331
02/10/2001,1260.537
03/10/2001,1270.469
04/10/2001,1315.163
05/10/2001,1398.757
08/10/2001,1439.313
09/10/2001,1383.858
10/10/2001,1399.584
11/10/2001,1436.002
12/10/2001,1460.005
15/10/2001,1455.038
16/10/2001,1448.417
17/10/2001,1465.798
18/10/2001,1481.524
19/10/2001,1448.417
22/10/2001,1485.662
23/10/2001,1448.417
24/10/2001,1460.832
25/10/2001,1430.209
26/10/2001,1419.448
29/10/2001,1402.896
30/10/2001,1335.855
31/10/2001,1354.891
01/11/2001,1427.726
02/11/2001,1390.48
05/11/2001,1415.31
06/11/2001,1448.417
07/11/2001,1442.623
08/11/2001,1448.417
09/11/2001,1426.897
12/11/2001,1455.038
13/11/2001,1503.871
14/11/2001,1539.46
15/11/2001,1531.184
16/11/2001,1531.184
19/11/2001,1484.007
20/11/2001,1445.106
21/11/2001,1440.968
23/11/2001,1462.488
26/11/2001,1486.49
27/11/2001,1449.245
28/11/2001,1407.861
29/11/2001,1373.927
30/11/2001,1368.961
03/12/2001,1398.757
04/12/2001,1411.171
05/12/2001,1480.696
06/12/2001,1431.863
07/12/2001,1393.791
10/12/2001,1378.065
11/12/2001,1392.135
12/12/2001,1403.723
13/12/2001,1339.842
14/12/2001,1348.968
17/12/2001,1349.797
18/12/2001,1378.004
19/12/2001,1307.487
20/12/2001,1265.176
21/12/2001,1243.606
24/12/2001,1231.991
26/12/2001,1227.843
27/12/2001,1228.673
28/12/2001,1236.139
31/12/2001,1246.095
02/01/2002,1289.235
03/01/2002,1319.102
04/01/2002,1290.065
07/01/2002,1258.539
08/01/2002,1227.843
09/01/2002,1199.636
10/01/2002,1169.77
11/01/2002,1189.68
14/01/2002,1177.236
15/01/2002,1168.11
16/01/2002,1157.325
17/01/2002,1182.214
18/01/2002,1182.214
22/01/2002,1122.481
23/01/2002,1124.97
24/01/2002,1119.992
25/01/2002,1119.992
28/01/2002,1122.481
29/01/2002,1115.844
30/01/2002,1111.696
31/01/2002,1104.229
01/02/2002,1093.444
04/02/2002,1032.882
