DATE;CLOSING;RETURN;;
03-01-2000;6862,03;7363,06;;
04-01-2000;6593,67;7075,1;;
05-01-2000;6552,18;7030,84;;
06-01-2000;6346,16;6809,77;;
07-01-2000;6567,76;7047,56;;
10-01-2000;6680,74;7168,79;;
11-01-2000;6513,41;6989,45;;
12-01-2000;6518,79;6995,23;;
13-01-2000;6588,89;7070,45;;
14-01-2000;6657,58;7144,15;;
18-01-2000;6592,78;7074,61;;
19-01-2000;6530,71;7008,11;;
20-01-2000;6486,42;6960,58;;
21-01-2000;6494,86;6969,82;;
24-01-2000;6411,36;6880,27;;
25-01-2000;6439,16;6910,11;;
26-01-2000;6499,64;6975,23;;
27-01-2000;6523,58;7000,93;;
28-01-2000;6378,38;6845,1;;
31-01-2000;6410,37;6879,43;;
01-02-2000;6457,88;6930,42;;
02-02-2000;6505,05;6981,28;;
03-02-2000;6710,43;7201,71;;
04-02-2000;6721,94;7214,05;;
07-02-2000;6676,41;7165,2;;
08-02-2000;6873,94;7377,18;;
09-02-2000;6821,42;7320,82;;
10-02-2000;6872,32;7375,44;;
11-02-2000;6725,65;7218,04;;
14-02-2000;6723,5;7215,73;;
15-02-2000;6698,92;7189,35;;
16-02-2000;6655,42;7142,67;;
17-02-2000;6747,77;7241,78;;
18-02-2000;6593,09;7075,78;;
22-02-2000;6691,94;7181,92;;
23-02-2000;6778,86;7276,43;;
24-02-2000;6721,61;7214,98;;
25-02-2000;6735,19;7229,57;;
28-02-2000;6699,9;7191,79;;
29-02-2000;6742,53;7237,55;;
01-03-2000;6841,36;7346,17;;
02-03-2000;6956,71;7470,03;;
03-03-2000;7057,46;7578,22;;
06-03-2000;7010,44;7527,73;;
07-03-2000;6920,56;7431,32;;
08-03-2000;6966,89;7483,73;;
09-03-2000;7068,08;7592,42;;
10-03-2000;7070,13;7594,63;;
13-03-2000;6864,44;7373,94;;
14-03-2000;6767,38;7269,8;;
15-03-2000;6759,16;7263,53;;
16-03-2000;6966,29;7486,12;;
17-03-2000;6859,82;7371,71;;
20-03-2000;6926,77;7443,66;;
21-03-2000;7041,34;7567,27;;
22-03-2000;6999,48;7522,28;;
23-03-2000;7060,71;7588,44;;
24-03-2000;7099,55;7630,41;;
27-03-2000;7131,52;7664,77;;
28-03-2000;7149,13;7685,25;;
29-03-2000;7072,09;7602,43;;
30-03-2000;6884,99;7401,29;;
31-03-2000;7025,82;7552,68;;
03-04-2000;6833,79;7346,5;;
04-04-2000;6756,29;7263,19;;
05-04-2000;6740,38;7246,66;;
06-04-2000;6857,71;7372,8;;
07-04-2000;6938,92;7460,11;;
10-04-2000;6814,87;7326,74;;
11-04-2000;6815,04;7326,92;;
12-04-2000;6654,68;7158,16;;
13-04-2000;6668,44;7172,97;;
14-04-2000;6284,31;6760,06;;
17-04-2000;6446,34;6934,35;;
18-04-2000;6602,11;7102,04;;
19-04-2000;6495,33;6987,34;;
