DATE;FFR;Tbill;Tb1yr;r5;r10;PPINSA;Finished;CPI;CPICORE;M1NSA;M2SA;M2NSA;Unemp;IndProd;RGDP;Potent;Deflator;Curr
1960Q1;3,93;3,87;4,57;4,64;4,49;31,67;33,20;29,40;18,92;140,53;896,10;299,40;5,13;23,93;2845,3;2824,2;18,521;31,8
1960Q2;3,70;2,99;3,87;4,30;4,26;31,73;33,40;29,57;19,00;138,40;903,30;300,03;5,23;23,41;2832,0;2851,2;18,579;31,9
1960Q3;2,94;2,36;3,07;3,67;3,83;31,63;33,43;29,59;19,07;139,60;919,40;305,50;5,53;23,02;2836,6;2878,7;18,648;32,2
1960Q4;2,30;2,31;2,99;3,75;3,89;31,70;33,67;29,78;19,14;142,67;932,80;312,30;6,27;22,47;2800,2;2906,7;18,700;32,6
1961Q1;2,00;2,35;2,87;3,64;3,79;31,80;33,63;29,84;19,17;142,23;948,90;317,10;6,80;22,13;2816,9;2934,8;18,743;32,1
1961Q2;1,73;2,30;2,94;3,62;3,79;31,47;33,33;29,83;19,23;141,40;966,40;320,97;7,00;23,00;2869,6;2962,9;18,785;32,1
1961Q3;1,68;2,30;3,01;3,90;3,98;31,50;33,33;29,95;19,32;142,00;982,70;326,50;6,77;23,74;2915,9;2991,3;18,843;32,7
1961Q4;2,40;2,46;3,10;3,84;3,97;31,53;33,37;29,99;19,37;146,63;1000,00;334,70;6,20;24,57;2975,3;3019,9;18,908;33,4
1962Q1;2,46;2,72;3,21;3,84;4,02;31,70;33,53;30,11;19,44;146,37;1020,70;341,17;5,63;24,94;3028,7;3048,7;19,020;33,1
1962Q2;2,61;2,72;3,02;3,63;3,87;31,53;33,43;30,22;19,51;145,33;1042,30;346,23;5,53;25,18;3062,1;3078,0;19,047;33,5
1962Q3;2,85;2,84;3,18;3,74;3,99;31,70;33,57;30,31;19,58;144,97;1058,50;351,63;5,57;25,45;3090,4;3107,7;19,092;34,1
1962Q4;2,92;2,81;3,00;3,60;3,90;31,67;33,57;30,38;19,61;149,23;1079,70;361,27;5,53;25,66;3097,9;3137,7;19,152;34,7
1963Q1;2,97;2,91;3,03;3,64;3,89;31,53;33,37;30,48;19,67;149,53;1103,80;368,97;5,77;26,14;3138,4;3168,4;19,196;34,5
1963Q2;2,96;2,94;3,14;3,76;3,96;31,50;33,40;30,53;19,74;148,87;1127,80;374,63;5,73;26,83;3177,7;3199,4;19,233;35,0
1963Q3;3,33;3,29;3,53;3,91;4,03;31,63;33,40;30,72;19,82;150,13;1150,70;382,20;5,50;27,01;3237,6;3230,7;19,272;35,9
